date,population
1/14/13,56666
1/15/13,57250
1/16/13,58576
1/17/13,60004
1/18/13,61186
1/20/13,65307
1/21/13,68145
1/22/13,70517
1/23/13,73002
1/24/13,73002
1/27/13,83988
1/28/13,86110
1/29/13,88632
1/30/13,91197
1/31/13,93417
2/3/13,95703
2/4/13,96706
2/5/13,97935
2/6/13,99667
2/7/13,101552
2/10/13,105113
2/11/13,106463
2/12/13,108026
2/17/13,116983
2/18/13,118424
2/19/13,120428
2/20/13,122603
2/21/13,124338
3/11/13,156557
3/13/13,158766
3/17/13,164365
3/25/13,171515
3/26/13,172316
3/27/13,173274
3/28/13,174307
4/1/13,179101
4/2/13,180455
4/3/13,181196
4/5/13,182302
4/7/13,185461
4/8/13,186050
4/9/13,186765
4/10/13,187587
4/11/13,188653
4/14/13,192193
4/15/13,193462
4/16/13,194368
4/17/13,195839
4/18/13,197042
4/21/13,202855
4/22/13,202689
4/23/13,202993
4/24/13,202993
4/25/13,202993
5/9/13,152422
5/13/13,168911
5/14/13,169252
5/15/13,170103
5/16/13,170103
5/19/13,173107
5/21/13,172162
5/23/13,171562
5/27/13,170236
5/28/13,169948
5/29/13,170317
5/30/13,170189
6/3/13,147287
6/4/13,147601
6/5/13,147637
6/10/13,147902
6/11/13,142525
6/12/13,142759
6/13/13,142743
6/16/13,143267
6/17/13,142707
6/18/13,142489
6/19/13,142592
6/20/13,142875
6/23/13,143682
6/24/13,143384
6/25/13,143533
6/26/13,143730
6/27/13,143949
6/30/13,144430
7/1/13,144570
7/2/13,144476
7/3/13,144279
7/4/13,144428
7/7/13,145049
7/8/13,144778
7/9/13,144854
7/10/13,144622
7/11/13,133759
7/14/13,133405
7/15/13,132927
7/17/13,132705
7/18/13,132658
7/22/13,132176
7/24/13,131992
7/25/13,131701
7/30/13,131637
7/31/13,131504
8/1/13,131389
8/5/13,130724
8/6/13,130180
8/7/13,130016
8/12/13,129659
8/13/13,129522
8/14/13,129314
8/18/13,124051
8/20/13,123301
8/21/13,123286
8/22/13,123093
8/26/13,123051
8/27/13,122817
8/28/13,122723
8/29/13,122496
9/1/13,122614
9/2/13,122017
9/18/13,120739
9/19/13,120602
9/22/13,121130
9/23/13,120783
9/24/13,120546
10/3/13,119975
10/6/13,120695
10/7/13,120695
10/8/13,120785
10/14/13,121040
10/17/13,121776
10/22/13,122191
10/23/13,122634
10/24/13,122537
10/28/13,122673
10/29/13,122673
10/30/13,109998
11/3/13,110439
11/5/13,110453
11/11/13,112229
11/12/13,112394
11/14/13,112116
11/17/13,112874
11/18/13,112813
11/19/13,113131
11/21/13,113131
11/26/13,113607
11/27/13,113721
11/28/13,113893
12/3/13,114813
12/4/13,114862
12/5/13,114865
12/9/13,116785
12/10/13,117334
12/18/13,118150
12/19/13,118231
12/31/13,124105
1/15/14,124105
1/20/14,127574
1/23/14,127712
1/26/14,128567
1/27/14,128880
1/28/14,128681
1/29/14,128560
2/2/14,128415
2/4/14,129276
2/6/14,129195
2/9/14,129438
2/10/14,129783
2/13/14,101156
2/18/14,102640
2/20/14,102704
2/23/14,104346
2/25/14,104883
3/5/14,104607
3/6/14,104809
3/9/14,107020
3/10/14,107138
3/23/14,106777
3/30/14,106073
4/1/14,106073
4/7/14,106442
4/10/14,104494
4/29/14,103301
4/30/14,101991
5/4/14,101402
5/30/14,91120
6/1/14,91110
6/4/14,84935
6/5/14,84960
6/8/14,84983
6/26/14,84980
7/1/14,83500
7/2/14,83500
7/3/14,83231
7/7/14,83093
7/8/14,82867
7/9/14,82853
7/15/14,82596
7/16/14,82385
7/20/14,82268
7/21/14,82015
7/23/14,81842
7/24/14,81769
7/27/14,81671
7/30/14,81690
7/31/14,81682
8/3/14,81659
8/7/14,80864
8/11/14,80428
8/21/14,79701
8/26/14,79708
8/28/14,79526
9/3/14,79596
9/7/14,79496
9/9/14,79354
9/18/14,79180
9/29/14,79071
10/8/14,79281
10/9/14,79229
10/28/14,80230
11/11/14,81321
11/20/14,81776
12/7/14,82818
12/21/14,82818
12/23/14,82818
12/28/14,82818
12/29/14,84513
12/30/14,84615
1/4/15,84786
1/5/15,84761
1/6/15,84808
1/7/15,84729
1/13/15,84747
1/14/15,84767
1/15/15,84588
1/18/15,84466
1/19/15,84363
1/20/15,84250
1/21/15,84230
1/22/15,84125
1/26/15,83994
2/3/15,83772
2/8/15,83773
2/9/15,83806
2/10/15,83830
2/11/15,83822
2/12/15,83782
2/15/15,83744
2/16/15,83819
2/22/15,83807
2/23/15,83817
2/24/15,83820
2/25/15,83827
3/1/15,83854
3/2/15,83856
3/4/15,83880
3/5/15,83820
3/8/15,83813
3/10/15,83802
3/11/15,83827
3/12/15,83811
3/15/15,83813
3/17/15,83756
3/18/15,83720
3/22/15,83615
3/23/15,83549
3/24/15,83512
3/26/15,83496
4/8/15,83501
5/6/15,82841
5/28/15,82107
6/17/15,81405
8/13/15,80244
8/16/15,80202
8/23/15,79900
9/6/15,79695
9/17/15,79472
10/4/15,79333
10/19/15,79284
11/2/15,79150
11/17/15,79140
